Verse Number,Verse Text,
1,"Mena a bankambua ba Yezu Kristu, muana wa ku ndelanganyi ya Davide ne ya Abrahame, adi nunku:",
2,Abrahame uvua mulele Izake. Izake kulela Yakobe. Yakobe kulela Yuda ne bana bakuabu ba balume.,
3,Yuda ne mukajende Tamare kulela Perese ne Zera. Perese kulela Esrome. Esrome kulela Arame.,
4,Arame kulela Aminadabe. Aminadabe kulela Nashone. Nashone kulela Salmone.,
5,Salmone ne mukajende Rakabe kulela Bowaze. Bowaze ne mukajende Rute kulela Obede. Obede kulela Ishayi.,
6,Ishayi kulela mukalenga Davide.,
7,Shelomu kulela Rekabame. Rekabame kulela Abiya. Abiya kulela Asa.,
8,Asa kulela Yoshafate. Yoshafate kulela Yorame. Yorame kulela Uziya.,
9,Uziya kulela Yotame. Yotame kulela Akaze. Akaze kulela Izkiya.,
10,Izkiya kulela Menashe. Menashe kulela Amone. Amone kulela Yoshiya.,
11,Yoshiya kulela Yekoniya ne bana bakuabu ba balume. Tshikondu atshi ke tshiyuabu baya ne bena Izrayele mu bupika ku Babilone.,
12,"Bamane kuya ne bena Izrayele mu bupika ku Babilone, Yekoniya kulela Sheyaltiyele. Sheyaltiyele kulela Zerubabele.",
13,Zerubabele kulela Abiyude. Abiyude kulela Eliyakime. Eliyakime kulela Azore.,
14,Azote kulela Sadoke. Sadoke kulela Akime. Akime kulela Eliyude.,
15,Eliyude kulela Eleyazare. Eleyazare kulela Matane. Matane kulela Yakobe.,
16,"Yakobe kulela Yozefe, bayende wa Mariya, mamuende wa Yezu, udibu binyika ne: Kristu.",
17,Nanku biangatshile ku Abrahame too ne ku Davide kudi ndelanganayi dikumi ne inayi; biangatshile ku Davide too ne ku tshikondu tshiyuabu baye ne bena Izrayele mu bupika ku Babilone kudi ndelanganyi dikumi ne inayi; biangatshile tshikondu atshi too ne ku diledibua dia Kristu kudi kabidi ndelanganyi dikumi ne inayi.,
18,"Bavua balela Yezu Kristu mushindu ewu. Mamuende Mariya uvua mubangila kudi Yozefe. Kadi kayi muanji kuya kudi bayende, kudimonaye muikale ne difu ku bukole bua Mueyelu wa Tshijila.",
19,"Yozefe uvua mumubangile, uvua muntu wa nsongu. Kavua musue kumanyisha bantu bualu ebu, bua kafuishi Mariya bundu. Nanku kushindikaye bua kushiyangana nende mu musokoku.",
20,"Kadi patshivuaye wela meji awu, mutumibue wa Maweja-Nangila kumumuenekela mu tshiota, umuambila ne:",
